English,German,Frequency
you,Du,28787591
i,ich,27086011
the,Die,22761659
to,Zu,17099834
a,A,14484562
s,S,14291013
it,Es,13631703
and,Und,10572938
that,Das,10203742
t,T,9628970
of,von,8915110
is,Ist,7400675
in,In,7337058
what,Was,6900164
we,Wir,6755687
me,Mich,6444985
this,Das,5739788
he,Er,5516364
for,für,5174060
my,Mein,4938948
on,An,4821861
have,haben,4764010
your,dein,4610945
do,Tun,4419883
was,War,4401531
m,M,4386306
no,NEIN,4374975
not,nicht,4262273
be,Sei,4210868
are,Sind,4203821
don,anziehen,4158644
re,Betreff,4059719
know,wissen,3892394
can,dürfen,3826118
with,mit,3806977
but,Aber,3631462
all,alle,3544700
so,So,3434152
just,Nur,3334392
there,Dort,3148528
here,Hier,3138591
they,Sie,3060204
like,wie,2983027
ll,ll,2913428
get,erhalten,2883193
she,sie,2778359
go,gehen,2738504
if,Wenn,2630800
right,Rechts,2576821
out,aus,2510010
about,um,2487348
up,hoch,2459855
at,bei,2431398
him,ihn,2431059
now,Jetzt,2298830
oh,Oh,2298308
one,eins,2263956
come,kommen,2203919
well,Also,2159909
her,ihr,2154982
how,Wie,2140365
yeah,Ja,2000641
ve,ve,1991871
will,Wille,1969807
got,bekommen,1968389
want,wollen,1950845
think,denken,1839473
as,als,1792220
see,sehen,1781493
did,tat,1742764
good,Gut,1741730
who,WHO,1734491
why,Warum,1722797
from,aus,1709582
let,lassen,1705262
his,sein,1666361
yes,Ja,1634050
when,Wenn,1531731
going,gehen,1520767
time,Zeit,1453708
an,ein,1449181
okay,Okay,1428884
back,zurück,1405024
look,sehen,1348467
us,uns,1346903
would,würde,1340070
them,ihnen,1327509
where,Wo,1322226
were,war,1315964
take,nehmen,1312232
then,Dann,1275502
had,hatte,1274537
or,oder,1267646
been,gewesen,1265150
our,unser,1191941
gonna,wird,1188190
tell,erzählen,1176290
really,Wirklich,1174710
man,Mann,1173588
some,manche,1166914
say,sagen,1153915
hey,Hey,1149292
could,könnte,1111837
d,D,1109205
didn,tatn,1100643
by,von,1090424
need,brauchen,1040131
something,etwas,1038638
has,hat,1035310
too,zu,1022558
more,mehr,1010390
way,Weg,1000182
down,runter,978966
make,machen,963885
very,sehr,945653
never,niemals,930831
only,nur,887363
people,Menschen,885915
over,über,880841
because,Weil,880112
little,wenig,869522
please,Bitte,842120
love,Liebe,830324
should,sollen,823711
mean,bedeuten,821275
said,genannt,818878
sorry,Verzeihung,818019
give,geben,811919
off,aus,799351
am,Bin,785830
thank,Dank,773577
any,beliebig,767968
two,zwei,764564
even,selbst,744544
much,viel,738599
doing,tun,732145
sure,Sicher,709390
thing,Ding,697528
these,diese,683128
help,Hilfe,666286
first,Erste,656387
into,hinein,655747
anything,irgendetwas,640206
still,still,639540
find,finden,626520
life,Leben,624596
nothing,Nichts,622415
sir,Herr,619500
day,Tag,617674
god,Gott,611924
work,arbeiten,611677
their,ihre,601171
uh,äh,592651
again,nochmal,590019
maybe,Vielleicht,581087
must,muss,580931
before,Vor,578606
other,andere,577197
wait,Warten,574752
stop,stoppen,574016
call,Forderung,572997
after,nach,572761
won,gewonnen,571621
talk,sprechen,567036
away,weg,564268
than,als,561014
thought,Gedanke,558542
home,heim,556894
night,Nacht,556318
put,setzen,552246
great,Großartig,545768
those,diese,528404
last,zuletzt,527395
better,besser,520328
everything,alles,519795
told,erzählt,517951
mr.,Herr.,515685
new,neu,508486
things,Dinge,503642
always,stets,503417
keep,halten,498392
long,lang,496267
years,Jahre,481860
leave,verlassen,478282
does,tut,478174
money,Geld,471643
around,um,471463
doesn,tut nicht,471037
name,Name,455543
place,Ort,444863
ever,immer,444088
feel,fühlen,444014
guys,Leute,442241
father,Vater,437537
guy,Kerl,435832
made,gemacht,433900
old,alt,431911
isn,isn,429536
which,welche,422483
big,groß,417218
lot,viel,411660
done,Erledigt,408760
hello,Hallo,405534
nice,Hübsch,405497
believe,glauben,403874
girl,Mädchen,402557
someone,jemand,401162
fine,Bußgeld,400530
thanks,Danke,395690
wanted,gesucht,392510
kind,Art,392242
coming,Kommen,389949
house,Haus,388585
every,jeden,388520
ok,OK,388338
through,durch,388127
being,Sein,386528
course,Kurs,381816
stay,bleiben,378726
left,links,378587
dad,Papa,378540
enough,genug,376973
happened,passiert,375703
came,kam,374486
may,dürfen,373526
mother,Mutter,372846
wrong,falsch,370949
world,Welt,370620
bad,schlecht,369996
might,könnte,367145
three,drei,366626
today,Heute,366395
listen,Hören,365791
another,andere,365421
understand,verstehen,365210
hear,hören,360665
remember,erinnern,358291
ask,fragen,354323
own,eigen,352542
same,Dasselbe,348167
show,zeigen,347408
else,anders,340756
kill,töten,339509
talking,sprechen,337629
found,gefunden,337382
next,nächste,335573
getting,bekommen,331186
care,Pflege,330956
car,Auto,330261
looking,aussehen,326550
son,Sohn,325997
try,versuchen,325748
woman,Frau,324673
went,ging,321824
hi,Hi,320316
dead,tot,317589
many,viele,314850
mind,Geist,312927
wasn,war nicht,312240
friend,Freund,308204
best,am besten,307071
mom,Mutter,305139
hell,Hölle,304275
morning,Morgen,303550
trying,versuchen,303288
boy,Junge,302508
together,zusammen,302404
yourself,du selbst,302013
job,Arbeit,298911
saw,gesehen,297985
family,Familie,294543
real,real,294536
without,ohne,290509
baby,Baby,290496
room,Zimmer,290206
wouldn,würde,288422
already,bereits,287837
move,Umzug,283807
most,am meisten,283006
seen,gesehen,282420
live,live,281046
miss,vermissen,280930
actually,Genau genommen,279595
huh,Huh,274656
shit,Scheisse,273312
both,beide,270720
heard,gehört,269851
once,einmal,269704
ready,bereit,267268
head,Kopf,266844
called,genannt,264588
used,gebraucht,263566
idea,Idee,263097
knew,wusste,262988
hold,halten,262367
happy,Glücklich,262141
door,Tür,261118
such,solch,261104
fuck,Scheiße,260121
brother,Bruder,259877
also,Auch,259803
pretty,hübsch,259500
bit,Bit,258929
took,nahm,258808
haven,Oase,258463
yet,noch,257947
men,Männer,257319
whole,ganz,257109
start,Start,256417
use,verwenden,256079
while,während,255970
since,seit,254427
wife,Gattin,254038
days,Tage,253171
guess,erraten,250320
tomorrow,morgen,248729
matter,Gegenstand,247812
meet,treffen,247466
bring,bringen,247343
tonight,heute Abend,246514
everyone,alle,246032
run,laufen,244200
wanna,will,243109
hard,hart,242871
ah,Ah,242456
alone,allein,240475
myself,ich selbst,240460
school,Schule,240176
gone,gegangen,240082
um,Äh,238853
end,Ende,237387
saying,Sprichwort,236600
phone,Telefon,235246
play,spielen,233865
looks,sieht aus,233814
couldn,konnte nicht,233368
