,English,German,Frequency
0,you,Sie,28787591
1,i,i,27086011
2,the,die,22761659
3,to,zu,17099834
4,a,a,14484562
5,s,s,14291013
6,it,es,13631703
7,and,und,10572938
8,that,dass,10203742
9,t,t,9628970
10,of,von,8915110
11,is,ist,7400675
12,in,in,7337058
13,what,was,6900164
14,we,wir,6755687
15,me,ich,6444985
16,this,diese,5739788
17,he,er,5516364
18,for,für,5174060
19,my,meine,4938948
20,on,auf,4821861
21,have,haben,4764010
22,your,Ihr,4610945
23,do,tun,4419883
24,was,war,4401531
25,m,m,4386306
26,no,keine,4374975
27,not,nicht,4262273
28,be,sein,4210868
29,are,sind,4203821
30,don,don,4158644
31,re,zu,4059719
32,know,wissen,3892394
33,can,kann,3826118
34,with,mit,3806977
35,but,sondern,3631462
36,all,alle,3544700
37,so,also,3434152
38,just,nur,3334392
39,there,dort,3148528
40,here,hier,3138591
41,they,sie,3060204
42,like,wie,2983027
43,ll,ll,2913428
44,get,erhalten.,2883193
45,she,sie,2778359
46,go,gehen.,2738504
47,if,wenn,2630800
48,right,rechts,2576821
49,out,aus,2510010
50,about,über,2487348
51,up,auf,2459855
52,at,unter,2431398
53,him,er,2431059
54,now,jetzt,2298830
55,oh,oh,2298308
56,one,eine,2263956
57,come,kommen,2203919
58,well,gut,2159909
59,her,ihre,2154982
60,how,wie,2140365
61,yeah,ja,2000641
62,ve,ve,1991871
63,will,wird,1969807
64,got,hat,1968389
65,want,denn,1950845
66,think,denken,1839473
67,as,als,1792220
68,see,siehe,1781493
69,did,hat,1742764
70,good,gut,1741730
71,who,die,1734491
72,why,warum,1722797
73,from,von,1709582
74,let,lassen Sie,1705262
75,his,seine,1666361
76,yes,ja,1634050
77,when,wenn,1531731
78,going,unter,1520767
79,time,Zeit,1453708
80,an,eine,1449181
81,okay,okay,1428884
82,back,zurück,1405024
83,look,siehe,1348467
84,us,us,1346903
85,would,würde,1340070
86,them,sie,1327509
87,where,wobei,1322226
88,were,waren,1315964
89,take,Nehmen Sie,1312232
90,then,dann,1275502
91,had,hatte,1274537
92,or,oder,1267646
93,been,wurde,1265150
94,our,unser,1191941
95,gonna,gonna,1188190
96,tell,tell,1176290
97,really,wirklich,1174710
98,man,man,1173588
99,some,einige,1166914
100,say,sagen,1153915
101,hey,Hallo,1149292
102,could,könnte,1111837
103,d,d,1109205
104,didn,hat,1100643
105,by,von,1090424
106,need,brauchen,1040131
107,something,etwas,1038638
108,has,hat,1035310
109,too,zu,1022558
110,more,mehr,1010390
111,way,Weg,1000182
112,down,unten,978966
113,make,machen.,963885
114,very,sehr,945653
115,never,niemals,930831
116,only,nur,887363
117,people,Menschen,885915
118,over,über,880841
119,because,denn,880112
120,little,wenig,869522
121,please,bitte,842120
122,love,Liebe,830324
123,should,sollte,823711
124,mean,mittlere,821275
125,said,sagte,818878
126,sorry,Entschuldigung,818019
127,give,geben.,811919
128,off,aus,799351
129,am,am,785830
130,thank,danke,773577
131,any,jede,767968
132,two,zwei,764564
133,even,sogar,744544
134,much,viel,738599
135,doing,bei,732145
136,sure,sicher,709390
137,thing,Sache,697528
138,these,diese,683128
139,help,Hilfe,666286
140,first,erste,656387
141,into,in,655747
142,anything,alles,640206
143,still,still,639540
144,find,find,626520
145,life,Leben,624596
146,nothing,nichts,622415
147,sir,Herr,619500
148,day,Tag,617674
149,god,Gott,611924
150,work,Arbeit,611677
151,their,ihre,601171
152,uh,äh,592651
153,again,wieder,590019
154,maybe,vielleicht,581087
155,must,muss,580931
156,before,vor,578606
157,other,andere,577197
158,wait,warten,574752
159,stop,Stopp,574016
160,call,aufrufen,572997
161,after,nach,572761
162,won,gewonnen.,571621
163,talk,sprechen,567036
164,away,weg,564268
165,than,als,561014
166,thought,Gedanken,558542
167,home,Startseite,556894
168,night,Nacht,556318
169,put,setzen.,552246
170,great,großartig,545768
171,those,die,528404
172,last,zuletzt,527395
173,better,besser,520328
174,everything,alles,519795
175,told,sagte,517951
176,mr.,mr.,515685
177,new,neu,508486
178,things,Dinge,503642
179,always,immer,503417
180,keep,behalten.,498392
181,long,lang,496267
182,years,Jahre,481860
183,leave,verlassen,478282
184,does,tut,478174
185,money,Geld,471643
186,around,um,471463
187,doesn,nicht,471037
188,name,Name,455543
189,place,Ort,444863
190,ever,immer,444088
191,feel,fühlen,444014
192,guys,Jungs,442241
193,father,Vater,437537
194,guy,Typ,435832
195,made,gemacht,433900
196,old,alt,431911
197,isn,isn,429536
198,which,die,422483
199,big,groß,417218
200,lot,Los,411660
201,done,fertig,408760
202,hello,hallo,405534
203,nice,schön,405497
204,believe,glauben,403874
205,girl,Mädchen,402557
206,someone,jemand,401162
207,fine,fein,400530
208,thanks,danke,395690
209,wanted,gesucht,392510
210,kind,freundlich,392242
211,coming,kommend,389949
212,house,Haus,388585
213,every,jede,388520
214,ok,ok,388338
215,through,über,388127
216,being,unter,386528
217,course,Lauf,381816
218,stay,bleiben,378726
219,left,links,378587
220,dad,Papa,378540
221,enough,genug,376973
222,happened,geschehen,375703
223,came,kam,374486
224,may,Mai,373526
225,mother,Mutter,372846
226,wrong,falsch,370949
227,world,Welt,370620
228,bad,schlecht,369996
229,might,könnte,367145
230,three,drei,366626
231,today,heute,366395
232,listen,hören.,365791
233,another,eine andere,365421
234,understand,understand,365210
235,hear,hören,360665
236,remember,erinnern Sie sich an,358291
237,ask,fragen Sie,354323
238,own,eigene,352542
239,same,dieselbe,348167
240,show,anzeigen,347408
241,else,sonst,340756
242,kill,töten,339509
243,talking,sprechend,337629
244,found,gefunden,337382
245,next,nächste,335573
246,getting,unter,331186
247,care,Pflege,330956
248,car,Auto,330261
249,looking,siehe,326550
250,son,Sohn,325997
251,try,Versuchen Sie,325748
252,woman,Frau,324673
253,went,ging,321824
254,hi,Hallo,320316
255,dead,tot,317589
256,many,viele,314850
257,mind,Geist,312927
258,wasn,war,312240
259,friend,Freund,308204
260,best,best,307071
261,mom,Mutter,305139
262,hell,Hölle,304275
263,morning,Morgen,303550
264,trying,Versuch,303288
265,boy,Junge,302508
266,together,zusammen,302404
267,yourself,selbst,302013
268,job,Job,298911
269,saw,siehe,297985
270,family,Familie,294543
271,real,real,294536
272,without,ohne,290509
273,baby,Baby,290496
274,room,Zimmer,290206
275,wouldn,würde,288422
276,already,bereits,287837
277,move,umziehen,283807
278,most,Die meisten,283006
279,seen,gesehen bei,282420
280,live,live,281046
281,miss,Miss,280930
282,actually,eigentlich,279595
283,huh,hm,274656
284,shit,Scheiße,273312
285,both,beide,270720
286,heard,gehört,269851
287,once,einmal,269704
288,ready,bereit,267268
289,head,Kopf,266844
290,called,genannt.,264588
291,used,gebraucht,263566
292,idea,Idee,263097
293,knew,wusste,262988
294,hold,halten,262367
295,happy,glücklich,262141
296,door,von,261118
297,such,wie,261104
298,fuck,ficken,260121
299,brother,Bruder,259877
300,also,auch,259803
301,pretty,hübsch,259500
302,bit,bit,258929
303,took,nahm,258808
304,haven,Hafen,258463
305,yet,dennoch,257947
306,men,Männer,257319
307,whole,ganz,257109
308,start,Start,256417
309,use,verwenden.,256079
310,while,während,255970
311,since,seit,254427
312,wife,Frau,254038
313,days,Tage,253171
314,guess,erraten,250320
315,tomorrow,morgen,248729
316,matter,Materie,247812
317,meet,treffen,247466
318,bring,bringen,247343
319,tonight,heute Abend,246514
320,everyone,alle,246032
321,run,laufen.,244200
322,wanna,will,243109
323,hard,hart,242871
324,ah,ah,242456
325,alone,allein,240475
326,myself,mich,240460
327,school,Schule,240176
328,gone,gegangen,240082
329,um,um,238853
330,end,Ende,237387
331,saying,unter,236600
332,phone,Telefon,235246
333,play,spielen,233865
334,looks,siehe,233814
335,couldn,konnte,233368
336,fucking,verdammt,232845
337,problem,Problem,232325
338,few,wenige,231375
339,friends,Freunde,230464
340,gotta,siehe,230351
341,ago,vor,229751
342,open,öffnen,229669
343,anyone,jeder,228332
344,killed,getötet,228297
345,hope,Hoffnung,226993
346,face,Gesicht,225482
347,until,bis,225171
348,lost,verloren,222398
349,police,Polizei,221380
350,excuse,Entschuldigung,219855
351,turn,drehen.,218563
352,business,Unternehmen,215855
353,case,Fall,215274
354,wants,will,215149
355,says,sagt,215090
356,TRUE,WAHR,214773
357,die,die,214062
358,heart,Herz,213914
359,soon,bald,213279
360,each,jede,211943
361,worry,Sorge,211329
362,later,später,208878
363,year,Jahr,208705
364,watch,Uhr,207949
365,music,Musik,207205
366,hand,Hand,206247
367,having,mit,206106
368,probably,wahrscheinlich,202736
369,beautiful,schön,200811
370,doctor,Doktor,198424
371,sit,sitzen,198149
372,eat,essen,197654
373,thinking,Denken,195875
374,young,junge,194810
375,second,zweite,193687
